epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6
1,0.41409775614738464,0.6057021617889404,0.30000001192092896,0.949999988079071,0.30000001192092896,0.30000001192092896,0.949999988079071
2,0.41409775614738464,0.6057021617889404,0.30000001192092896,0.949999988079071,0.30000001192092896,0.30000001192092896,0.949999988079071
3,0.41409775614738464,0.6057021617889404,0.30000001192092896,0.949999988079071,0.30000001192092896,0.30000001192092896,0.949999988079071
4,0.41409775614738464,0.6057021617889404,0.30000001192092896,0.949999988079071,0.30000001192092896,0.30000001192092896,0.949999988079071
5,0.949999988079071,0.692017674446106,0.48836901783943176,0.949999988079071,0.949999988079071,0.5251789689064026,0.8501832485198975
6,0.949999988079071,0.692017674446106,0.48836901783943176,0.949999988079071,0.949999988079071,0.5251789689064026,0.8501832485198975
7,0.949999988079071,0.692017674446106,0.48836901783943176,0.949999988079071,0.949999988079071,0.5251789689064026,0.8501832485198975
8,0.949999988079071,0.692017674446106,0.48836901783943176,0.949999988079071,0.949999988079071,0.5251789689064026,0.8501832485198975
9,0.949999988079071,0.692017674446106,0.48836901783943176,0.949999988079071,0.949999988079071,0.5251789689064026,0.8501832485198975
10,0.7876313924789429,0.949999988079071,0.949999988079071,0.7828712463378906,0.823203444480896,0.6365514397621155,0.8233572244644165
11,0.7876313924789429,0.949999988079071,0.949999988079071,0.7828712463378906,0.823203444480896,0.6365514397621155,0.8233572244644165
12,0.7876313924789429,0.949999988079071,0.949999988079071,0.7828712463378906,0.823203444480896,0.6365514397621155,0.8233572244644165
13,0.7876313924789429,0.949999988079071,0.949999988079071,0.7828712463378906,0.823203444480896,0.6365514397621155,0.8233572244644165
14,0.7876313924789429,0.949999988079071,0.949999988079071,0.7828712463378906,0.823203444480896,0.6365514397621155,0.8233572244644165
15,0.8073806762695312,0.9484705924987793,0.7697094678878784,0.949999988079071,0.949999988079071,0.8519975543022156,0.949999988079071
16,0.8073806762695312,0.9484705924987793,0.7697094678878784,0.949999988079071,0.949999988079071,0.8519975543022156,0.949999988079071
