epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6
17,0.8073806762695312,0.9484705924987793,0.7697094678878784,0.949999988079071,0.949999988079071,0.8519975543022156,0.949999988079071
18,0.8073806762695312,0.9484705924987793,0.7697094678878784,0.949999988079071,0.949999988079071,0.8519975543022156,0.949999988079071
19,0.8073806762695312,0.9484705924987793,0.7697094678878784,0.949999988079071,0.949999988079071,0.8519975543022156,0.949999988079071
20,0.949999988079071,0.9449267387390137,0.949999988079071,0.8892101645469666,0.8774667382240295,0.8691511750221252,0.9068160653114319
21,0.949999988079071,0.9449267387390137,0.949999988079071,0.8892101645469666,0.8774667382240295,0.8691511750221252,0.9068160653114319
22,0.949999988079071,0.9449267387390137,0.949999988079071,0.8892101645469666,0.8774667382240295,0.8691511750221252,0.9068160653114319
23,0.949999988079071,0.9449267387390137,0.949999988079071,0.8892101645469666,0.8774667382240295,0.8691511750221252,0.9068160653114319
24,0.949999988079071,0.9449267387390137,0.949999988079071,0.8892101645469666,0.8774667382240295,0.8691511750221252,0.9068160653114319
25,0.949999988079071,0.9461052417755127,0.8902094960212708,0.949999988079071,0.8812751173973083,0.7814981937408447,0.8591252565383911
26,0.949999988079071,0.9461052417755127,0.8902094960212708,0.949999988079071,0.8812751173973083,0.7814981937408447,0.8591252565383911
27,0.949999988079071,0.9461052417755127,0.8902094960212708,0.949999988079071,0.8812751173973083,0.7814981937408447,0.8591252565383911
28,0.949999988079071,0.9461052417755127,0.8902094960212708,0.949999988079071,0.8812751173973083,0.7814981937408447,0.8591252565383911
29,0.949999988079071,0.9461052417755127,0.8902094960212708,0.949999988079071,0.8812751173973083,0.7814981937408447,0.8591252565383911
30,0.949999988079071,0.9414383769035339,0.8873128890991211,0.949999988079071,0.949999988079071,0.7773511409759521,0.8710479736328125
31,0.949999988079071,0.9414383769035339,0.8873128890991211,0.949999988079071,0.949999988079071,0.7773511409759521,0.8710479736328125
32,0.949999988079071,0.9414383769035339,0.8873128890991211,0.949999988079071,0.949999988079071,0.7773511409759521,0.8710479736328125
33,0.949999988079071,0.9414383769035339,0.8873128890991211,0.949999988079071,0.949999988079071,0.7773511409759521,0.8710479736328125
34,0.949999988079071,0.9414383769035339,0.8873128890991211,0.949999988079071,0.949999988079071,0.7773511409759521,0.8710479736328125
35,0.949999988079071,0.9475606083869934,0.949999988079071,0.949999988079071,0.9198711514472961,0.8561445474624634,0.8740286231040955
36,0.949999988079071,0.9475606083869934,0.949999988079071,0.949999988079071,0.9198711514472961,0.8561445474624634,0.8740286231040955
37,0.949999988079071,0.9475606083869934,0.949999988079071,0.949999988079071,0.9198711514472961,0.8561445474624634,0.8740286231040955
38,0.949999988079071,0.9475606083869934,0.949999988079071,0.949999988079071,0.9198711514472961,0.8561445474624634,0.8740286231040955
39,0.949999988079071,0.9475606083869934,0.949999988079071,0.949999988079071,0.9198711514472961,0.8561445474624634,0.8740286231040955
40,0.949999988079071,0.9367184042930603,0.9349803924560547,0.9070147275924683,0.949999988079071,0.8063803315162659,0.8770093321800232
41,0.949999988079071,0.9367184042930603,0.9349803924560547,0.9070147275924683,0.949999988079071,0.8063803315162659,0.8770093321800232
42,0.949999988079071,0.9367184042930603,0.9349803924560547,0.9070147275924683,0.949999988079071,0.8063803315162659,0.8770093321800232
43,0.949999988079071,0.9367184042930603,0.9349803924560547,0.9070147275924683,0.949999988079071,0.8063803315162659,0.8770093321800232
44,0.949999988079071,0.9367184042930603,0.9349803924560547,0.9070147275924683,0.949999988079071,0.8063803315162659,0.8770093321800232
45,0.949999988079071,0.949999988079071,0.9291406869888306,0.949999988079071,0.9431958794593811,0.8271154165267944,0.8859513401985168
46,0.949999988079071,0.949999988079071,0.9291406869888306,0.949999988079071,0.9431958794593811,0.8271154165267944,0.8859513401985168
47,0.949999988079071,0.949999988079071,0.9291406869888306,0.949999988079071,0.9431958794593811,0.8271154165267944,0.8859513401985168
48,0.949999988079071,0.949999988079071,0.9291406869888306,0.949999988079071,0.9431958794593811,0.8271154165267944,0.8859513401985168
49,0.949999988079071,0.949999988079071,0.9291406869888306,0.949999988079071,0.9431958794593811,0.8271154165267944,0.8859513401985168
50,0.949999988079071,0.9342851042747498,0.949999988079071,0.9197322726249695,0.949999988079071,0.8084537982940674,0.8829706311225891
51,0.949999988079071,0.9342851042747498,0.949999988079071,0.9197322726249695,0.949999988079071,0.8084537982940674,0.8829706311225891
52,0.949999988079071,0.9342851042747498,0.949999988079071,0.9197322726249695,0.949999988079071,0.8084537982940674,0.8829706311225891
53,0.949999988079071,0.9342851042747498,0.949999988079071,0.9197322726249695,0.949999988079071,0.8084537982940674,0.8829706311225891
54,0.949999988079071,0.9342851042747498,0.949999988079071,0.9197322726249695,0.949999988079071,0.8084537982940674,0.8829706311225891
55,0.949999988079071,0.9466632008552551,0.9359536170959473,0.9450814127922058,0.949999988079071,0.8395565152168274,0.8859513401985168
56,0.949999988079071,0.9466632008552551,0.9359536170959473,0.9450814127922058,0.949999988079071,0.8395565152168274,0.8859513401985168
57,0.949999988079071,0.9466632008552551,0.9359536170959473,0.9450814127922058,0.949999988079071,0.8395565152168274,0.8859513401985168
58,0.949999988079071,0.9466632008552551,0.9359536170959473,0.9450814127922058,0.949999988079071,0.8395565152168274,0.8859513401985168
59,0.949999988079071,0.9466632008552551,0.9359536170959473,0.9450814127922058,0.949999988079071,0.8395565152168274,0.8859513401985168
60,0.949999988079071,0.9369269013404846,0.9388735294342041,0.9426238536834717,0.949999988079071,0.8105273842811584,0.8770093321800232
